timestamp,geracao_kwh,consumo_kwh,exportado_kwh,solar_generation_kwh,house_consumption_kwh,grid_import_kwh,grid_export_kwh,self_consumption_kwh,estimated_savings_brl,weather_condition,expected_generation_kwh
1773235009,1.1511,0.1748,0.9764,1.1511,0.1748,0.0,0.9764,0.1748,0.1608,ensolarado,1.1819
1773235909,1.2076,0.1132,1.0944,1.2076,0.1132,0.0,1.0944,0.1132,0.1041,ensolarado,1.1528
1773236809,0.9945,0.0828,0.9117,0.9945,0.0828,0.0,0.9117,0.0828,0.0762,ensolarado,1.1187
1773237709,1.1234,0.0861,1.0373,1.1234,0.0861,0.0,1.0373,0.0861,0.0792,ensolarado,1.0798
1773238609,1.0945,0.1029,0.9915,1.0945,0.1029,0.0,0.9915,0.1029,0.0947,ensolarado,1.0363
1773239509,0.9401,0.101,0.8391,0.9401,0.101,0.0,0.8391,0.101,0.0929,ensolarado,0.9884
1773240409,0.9592,0.0807,0.8784,0.9592,0.0807,0.0,0.8784,0.0807,0.0743,ensolarado,0.9362
1773241309,0.8687,0.1097,0.759,0.8687,0.1097,0.0,0.759,0.1097,0.101,ensolarado,0.88
1773242209,0.7777,0.1217,0.656,0.7777,0.1217,0.0,0.656,0.1217,0.1119,ensolarado,0.8201
1773243109,0.7327,0.133,0.5997,0.7327,0.133,0.0,0.5997,0.133,0.1223,ensolarado,0.7566
1773244009,0.6772,0.0857,0.5915,0.6772,0.0857,0.0,0.5915,0.0857,0.0788,ensolarado,0.6899
1773244909,0.6128,0.1365,0.4763,0.6128,0.1365,0.0,0.4763,0.1365,0.1256,ensolarado,0.6203
1773245809,0.5004,0.1015,0.3989,0.5004,0.1015,0.0,0.3989,0.1015,0.0934,ensolarado,0.548
1773246709,0.4663,0.1436,0.3227,0.4663,0.1436,0.0,0.3227,0.1436,0.1321,ensolarado,0.4733
1773247609,0.354,0.0841,0.2699,0.354,0.0841,0.0,0.2699,0.0841,0.0773,ensolarado,0.3966
1773248509,0.3011,0.1232,0.1779,0.3011,0.1232,0.0,0.1779,0.1232,0.1133,ensolarado,0.3183
1773249409,0.2207,0.1232,0.0975,0.2207,0.1232,0.0,0.0975,0.1232,0.1133,ensolarado,0.2385
1773250309,0.1594,0.1437,0.0157,0.1594,0.1437,0.0,0.0157,0.1437,0.1322,ensolarado,0.1577
1773251209,0.078,0.1339,0.0,0.078,0.1339,0.0559,0.0,0.078,0.0718,ensolarado,0.0763
1773252109,0.0,0.3958,0.0,0.0,0.3958,0.3958,0.0,0.0,0.0,ensolarado,0.0
1773253009,0.0,0.3693,0.0,0.0,0.3693,0.3693,0.0,0.0,0.0,ensolarado,0.0
1773253909,0.0,0.3801,0.0,0.0,0.3801,0.3801,0.0,0.0,0.0,ensolarado,0.0
